"SYMBOL","OPEN","HIGH ","LOW","PREV. CLOSE","LTP ","CHNG","%CHNG","VOLUME (shares)",VALUE ,"52W H","52W L","365 D % CHNG 01-Sep-2020","30 D % CHNG 
 02-Aug-2021"
AARTIIND,914,927,896.35,921.3,920.85,-0.45,-0.05,4465860,"4,04,85,25,383.00",987,483.23,-12.01,-2.83
SBIN,431.4,433.5,427.75,429.9,429.6,-0.3,-0.07,14372717,"6,18,47,23,852.27",467.45,175.5,97.11,-1.15
MARUTI,"6,852.70","6,858.95","6,708.20","6,784.90","6,780.00",-4.9,-0.07,741052,"5,01,43,50,589.56","8,329.00","6,270.15",-1.75,-4.13
ASIANPAINT,"3,312.95","3,319.00","3,266.65","3,302.75","3,299.15",-3.6,-0.11,847517,"2,79,37,55,038.80","3,333.00","1,907.75",66.86,11.05
PIIND,"3,375.00","3,426.00","3,342.45","3,375.15","3,370.35",-4.8,-0.14,171213,"57,98,38,506.45","3,456.95","1,810.00",81.45,1.77
PVR,"1,345.00","1,345.00","1,326.00","1,336.05","1,333.90",-2.15,-0.16,382021,"50,96,77,137.36","1,591.90",988.35,-4.75,-5.77
IBULHSGFIN,233.2,238,230.35,232.1,231.65,-0.45,-0.19,14301236,"3,34,74,90,310.52",313.7,127.75,12.78,-19.13
BHARTIARTL,669.95,673.75,664.05,666.4,665.05,-1.35,-0.2,18601857,"12,44,68,74,555.84",673.75,394,22,17.92
SIEMENS,"2,295.00","2,318.00","2,272.75","2,285.55","2,280.60",-4.95,-0.22,216835,"49,73,50,102.80","2,318.00","1,142.65",94.06,15.55
BAJFINANCE,"7,500.00","7,586.40","7,445.05","7,519.60","7,502.00",-17.6,-0.23,1183378,"8,88,49,20,361.80","7,674.50","3,006.90",106.36,21.27
PETRONET,226.9,228.5,226.55,227.75,227.15,-0.6,-0.26,2045971,"46,50,28,748.59",275.35,207.25,-6.62,3.64
APOLLOHOSP,"5,039.05","5,122.00","5,013.00","5,039.05","5,025.10",-13.95,-0.28,900686,"4,57,17,65,046.82","5,122.00","1,585.05",201.59,24.48
MUTHOOTFIN,"1,530.00","1,532.10","1,512.00","1,525.05","1,520.00",-5.05,-0.33,474775,"72,32,76,982.75","1,638.85","1,000.00",31.57,-3.76
PAGEIND,"32,116.50","32,391.90","31,721.00","32,108.25","32,000.00",-108.25,-0.34,23348,"74,74,31,118.72","33,989.00","17,685.00",67.52,-1.1
COFORGE,"5,184.00","5,199.90","5,036.25","5,167.55","5,150.00",-17.55,-0.34,381235,"1,95,88,00,679.40","5,336.60","1,880.50",173.27,0.49
ICICIGI,"1,610.05","1,657.30","1,601.90","1,633.45","1,627.60",-5.85,-0.36,764801,"1,24,85,14,688.47","1,657.30","1,200.00",29.7,12.25
HEROMOTOCO,"2,725.00","2,738.85","2,702.60","2,740.85","2,731.00",-9.85,-0.36,422436,"1,15,02,29,862.60","3,629.05","2,636.00",-8.5,-1.49
HINDALCO,460.05,465,455.7,458.1,456.2,-1.9,-0.41,5360608,"2,45,94,46,950.40",474,154.4,136.07,2.76
BAJAJFINSV,"16,865.00","16,900.00","16,610.00","16,786.30","16,710.00",-76.3,-0.45,276879,"4,63,63,25,011.05","17,263.50","5,400.00",163.95,18.84
GRANULES,345.9,349.8,341.65,344.95,343.4,-1.55,-0.45,2340246,"80,85,78,395.46",437.95,295,6.45,-10.01
TORNTPOWER,490,495,484.1,487.85,485,-2.85,-0.58,1016752,"49,65,10,504.16",508.7,293,43.13,4.82
ZEEL,172.55,173.3,170.55,173.85,172.8,1.45,0.85,6040834,"1,03,84,79,772.94",261,166.8,-13.85,-14.13
ASHOKLEY,122.9,123.7,120.9,122.5,121.75,-0.75,-0.61,11908571,"1,45,10,59,376.35",143.3,64.15,78.05,-9.12
BHEL,54.95,55.55,54.35,54.95,54.6,-0.35,-0.64,34975008,"1,91,73,29,938.56",79.55,26.75,42.54,-8.19
IOC,109.8,110.35,109,110.75,110,-0.75,-0.68,11510399,"1,26,40,72,018.18",117.85,71.65,30.83,4.98
PFC,129,129.9,127.55,129.3,128.35,-0.95,-0.73,2331332,"29,95,06,222.04",140.5,82.05,32.82,-3.22
TATAMOTORS,295.25,296.3,291.7,295.25,293.05,-2.2,-0.75,14907001,"4,37,89,31,543.75",360.75,122.15,105.32,-0.54
DIVISLAB,"5,214.95","5,244.20","5,153.20","5,202.65","5,163.00",-39.65,-0.76,414878,"2,15,34,15,961.44","5,271.65","2,985.00",61.02,5.55
BAJAJ-AUTO,"3,789.00","3,789.00","3,717.00","3,758.30","3,726.00",-32.3,-0.86,474397,"1,76,95,86,201.46","4,361.40","2,822.45",27.04,-2.17
BANDHANBNK,285.85,286.7,277.7,285.65,283.15,-2.5,-0.88,3648639,"1,03,41,33,751.77",430.7,251.4,-6.65,-4.64
ONGC,118.9,120.15,118,119.7,118.6,-1.1,-0.92,13031666,"1,55,01,16,670.70",128.5,64.1,50.85,2.22
METROPOLIS,"2,920.30","2,926.65","2,859.20","2,898.25","2,870.35",-27.9,-0.96,186051,"53,81,11,586.28","3,231.80","1,675.00",59.78,0.43
TORNTPHARM,"3,170.00","3,187.90","3,130.00","3,167.50","3,135.10",-32.4,-1.02,94069,"29,64,65,038.33","3,187.90","2,311.10",16.89,2.96
CANBK,161.65,162.95,158.4,161.05,159.3,-1.75,-1.09,18378252,"2,95,87,14,789.48",174.6,82.25,50.87,3.5
LALPATHLAB,"4,191.00","4,243.00","4,101.00","4,179.50","4,130.00",-49.5,-1.18,294802,"1,22,86,72,827.58","4,243.00","1,736.60",132.65,12.39
COALINDIA,143.8,143.8,141.2,144.2,141.8,1.1,0.78,7787657,"1,10,49,90,651.73",165,109.55,8.06,0.21
M&M,772.85,774.15,750,769.9,755,-14.9,-1.94,4879865,"3,70,26,95,166.05",952.05,567.5,26.72,1.61
CUB,158.95,159.5,154.8,160.05,156.95,-3.1,-1.94,2472275,"38,74,05,492.50",200,129.3,14.04,5.78
IPCALAB,"2,533.50","2,537.80","2,470.00","2,533.00","2,482.60",-50.4,-1.99,176312,"44,17,05,638.00","2,664.30","1,785.40",25.71,20.53
ESCORTS,"1,345.35","1,354.00","1,288.00","1,347.80","1,313.25",-34.55,-2.56,1599168,"2,10,05,23,159.68","1,468.45","1,078.05",21.23,12.29
